number,product_area,surface,source_file_module,localization_key,review_locale,english_source,current_arabic,current_badini,placeholders_interpolations,context,reason,final_status,final_notes
70,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,summary,Badini,Appointment Summary,معلومات,پوختەیا ژڤانێ,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
71,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,workingSession,Badini,Working session,معلومات,دانیشتنا کاری,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
72,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,timeline,Badini,Timeline,معلومات,خشتەیا دەمی,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
73,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,queueInformation,Badini,Queue Information,معلومات,زانیاریێن سرایێ,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
74,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,queueHealth,Badini,Queue health,معلومات,رەوشا سرایێ,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
75,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,notes,Badini,Notes,معلومات,تێبینی,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
76,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,notesPlaceholder,Badini,Notes will be available in a future Sprint.,معلومات,تێبینی د وەشانەکا داهاتی دا بەردەست دبن.,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
77,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,viewDoctor,Badini,View Doctor,معلومات,نوژداری ببینە,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
78,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,backToAppointments,Badini,Back to Appointments,معلومات,ب ڤەگەرە بو ژڤانان,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
79,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,reminderSent,Badini,Reminder sent,معلومات,بیرئینان هاتە فرێکرن,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
80,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,patientExpected,Badini,Patient expected,معلومات,چاڤەرێیا نەخوشی دهێتە کرن,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
81,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,doctorStarted,Badini,Doctor started,معلومات,نوژدار دەستپێکر,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
82,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,pending,Badini,Pending,معلومات,ل چاڤەرێیە,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
83,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,late,Badini,Late,معلومات,پاشکەفتی,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
84,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,title,Arabic,Record Patient Arrival,تسجيل وصول المريض,هاتنا نەخوشی تومار بکە,None,Shown while reviewing or recording patient arrival.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
85,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,subtitle,Arabic,Confirm the patient and appointment before recording arrival.,تأكد من المريض والموعد قبل تسجيل الوصول.,بەری تومارکرنا هاتنێ، نەخوش و ژڤانێ پشتراست بکە.,None,Shown while reviewing or recording patient arrival.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
86,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,failure,Arabic,Arrival could not be recorded.,تعذر تسجيل الوصول.,هاتن نەشیا بهێتە تومارکرن.,None,Shown while reviewing or recording patient arrival.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
87,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,title,Badini,Record Patient Arrival,تسجيل وصول المريض,هاتنا نەخوشی تومار بکە,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
88,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,subtitle,Badini,Confirm the patient and appointment before recording arrival.,تأكد من المريض والموعد قبل تسجيل الوصول.,بەری تومارکرنا هاتنێ، نەخوش و ژڤانێ پشتراست بکە.,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
89,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,success,Badini,Patient has arrived,معلومات,نەخوش گەهشت,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
90,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,prepareQueue,Badini,Prepare for Live Queue,معلومات,بو رێزبەندییا زندی ئامادە بە,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
91,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,alreadyArrived,Badini,Arrival was already recorded,معلومات,هاتن ژبەری هاتە تومارکرن,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
92,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,notEligible,Badini,This appointment is not eligible for arrival.,معلومات,ئەڤ ژڤانە بو تومارکرنا هاتنێ گونجای نینە.,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
93,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,notFound,Badini,The appointment could not be found.,معلومات,ژڤان نەهاتە دیتن.,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
94,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,wrongPatient,Badini,The patient does not match this appointment.,معلومات,نەخوش ل گەل ڤی ژڤانی ناگونجیت.,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
95,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,stale,Badini,The appointment changed before arrival was recorded.,معلومات,بەری تومارکرنا هاتنێ ژڤان هاتە گهورین.,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
96,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,failure,Badini,Arrival could not be recorded.,تعذر تسجيل الوصول.,هاتن نەشیا بهێتە تومارکرن.,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
97,Arrival,Clinic Portal,clinic-portal/src/i18n/index.ts,recording,Badini,Recording arrival,معلومات,هاتن دهێتە تومارکرن,None,Shown while reviewing or recording patient arrival.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
98,Appointments,Clinic Portal,clinic-portal/src/features/clinical-presentation/messages.ts,scheduled,Badini,Scheduled,معلومات,دیارکری,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
99,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,subtitle,Arabic,"See who is being seen, who is next, and the action required now.",اطّلع على المريض قيد المعاينة، والمريض التالي، والإجراء المطلوب الآن.,ببینە کێ د پشکنینێ دایە، کێ ل دویفرا یە، و نوکە چ کار پێدڤییە.,None,"Shown in live-queue status, controls, guidance, or feedback.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
100,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,healthyHelp,Arabic,The queue is moving at a comfortable pace.,تسير قائمة الانتظار حاليًا بوتيرة جيدة.,سرا ب خێراییەکا باش دچیت.,None,"Shown in live-queue status, controls, guidance, or feedback.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
101,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,busyHelp,Arabic,More patients are waiting than usual. Keep the queue moving.,هناك مرضى أكثر من المعتاد في الانتظار. حافظ على سير قائمة الانتظار.,ژ ئاسایی پتر نەخوش ل چاڤەرێ نە. سرایێ بەردەوام ببە پێش.,None,"Shown in live-queue status, controls, guidance, or feedback.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
102,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,delayedHelp,Arabic,Patients are waiting longer than expected.,ينتظر المرضى مدة أطول من المتوقع.,نەخوش پتر ژ دەمێ پێشبینی کری چاڤەرێ نە.,None,"Shown in live-queue status, controls, guidance, or feedback.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
103,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,operationalActions,Arabic,Operational Actions,الإجراءات التشغيلية,کارێن بەڕێڤەبرنێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
104,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,title,Badini,Queue Operations,إدارة قائمة الانتظار,کارێن سرایێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
105,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,subtitle,Badini,"See who is being seen, who is next, and the action required now.",اطّلع على المريض قيد المعاينة، والمريض التالي، والإجراء المطلوب الآن.,ببینە کێ د پشکنینێ دایە، کێ ل دویفرا یە، و نوکە چ کار پێدڤییە.,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
106,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,clinicQueueStatus,Badini,Clinic Queue Status,حالة قائمة انتظار العيادة,رەوشا سرایا کلینیکێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
107,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,queue,Badini,Queue,معلومات,سرا,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
108,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,queueHealth,Badini,Queue Health,معلومات,رەوشا سرایێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
109,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,number,Badini,Number,معلومات,ژمارە,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
110,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,elapsed,Badini,Elapsed consultation time,معلومات,دەمێ بوری یێ پشکنینێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
111,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,recallPatient,Badini,Recall Patient,معلومات,نەخوشی دیسان بانگ بکە,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
112,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,waitingList,Badini,Waiting List,قائمة الانتظار,سرایا چاڤەرێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
113,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,queueNumber,Badini,Queue #,معلومات,ژمارا سرایێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
114,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,recentActivity,Badini,Recent Activity,النشاط الأخير,چالاکییا نوی,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
115,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,operationalActions,Badini,Operational Actions,الإجراءات التشغيلية,کارێن بەڕێڤەبرنێ,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
116,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,pauseQueue,Badini,Pause Queue,إيقاف القائمة مؤقتاً,سرایێ بو دەمکی رابگرە,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
117,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,resumeQueue,Badini,Resume Queue,استئناف القائمة,سرایێ دیسان بەردەوام بکە,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
118,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,confirmComplete,Badini,Complete this consultation? The patient will leave the active queue.,معلومات,تو دخوازی ڤێ پشکنینێ تەمام بکەی؟ نەخوش دێ ژ سرایا چالاک دەرکەڤیت.,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
119,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,queueOpened,Badini,Queue opened,معلومات,سرا هاتە ڤەکرن,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
120,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,queueResumed,Badini,Queue resumed,معلومات,سرا دیسان بەردەوام بوو,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
121,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,patientRecalled,Badini,Patient recalled,معلومات,نەخوش دیسان هاتە بانگکرن,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
122,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,noResponse,Badini,No response recorded,معلومات,بێ بەرسڤ هاتە تومارکرن,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
123,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,success,Badini,{change}. Current patient: {current}. Next patient: {next}. Queue health: {health}.,معلومات,{change}. نەخوشێ نوکە: {current}. نەخوشێ ل دویفرا: {next}. رەوشا سرایێ: {health}.,"{change}, {current}, {next}, {health}","Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
124,Live Queue,Clinic Portal,clinic-portal/src/features/live-queue/presentation/messages.ts,queueIsPaused,Badini,Resume the queue before continuing.,معلومات,بەری بەردەوامبوونێ سرایێ دیسان بەردەوام بکە.,None,"Shown in live-queue status, controls, guidance, or feedback.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
125,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,unavailable,Arabic,Settings unavailable,الإعدادات غير متاحة.,رێکخستن بەردەست نینن,None,Shown in doctor settings and preferences.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
126,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,unavailableBody,Arabic,Doctor settings cannot be loaded. No profile or preference state was changed.,تعذر تحميل إعدادات الطبيب. لم يتم تغيير الملف أو أي تفضيلات.,بارکرنا رێکخستنێن نوژداری سەرنەکەفت. پروفایل و چ هەلبژارتنەک نەهاتە گهورین.,None,Shown in doctor settings and preferences.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
127,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,subtitle,Badini,"Your identity, clinic assignment, session, and future preferences.",هويتك وتكليف العيادة والجلسة والتفضيلات المستقبلية.,ناسناما تە، دیارکرنا کلینیکێ، دانیشتن و هەلبژارتنێن داهاتی یێن تە.,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
128,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,workingLocation,Badini,Working location,موقع العمل,جهێ کاری,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
129,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,todaySession,Badini,Today's Session,جلسة اليوم,دانیشتنا ئەڤرو,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
130,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,sessionState,Badini,Session state,حالة الجلسة,رەوشا دانیشتنێ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
131,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,startedAt,Badini,Started at,بدأت في,دەستپێکر ل,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
132,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,patientsCompleted,Badini,Patients completed,المرضى المكتملون,نەخوشێن تەمامبووی,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
133,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,patientsRemaining,Badini,Patients remaining,المرضى المتبقون,نەخوشێن مایی,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
134,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,queueHealth,Badini,Queue health,حالة قائمة الانتظار,رەوشا سرایێ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
135,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,theme,Badini,Theme,السمة,دیمەن,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
136,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,reducedMotion,Badini,Reduced motion,تقليل الحركة,کێمکرنا جوولانێ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
137,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,followSystem,Badini,Follow system setting,معلومات,ل دویف رێکخستنێن سیستەمی هەرە,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
138,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,textSize,Badini,Text size,حجم النص,قەبارێ نڤیسینێ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
139,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,rtlStatus,Badini,RTL status,حالة الاتجاه من اليمين,رەوشا راست بو چەپ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
140,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,queueNotifications,Badini,Queue notifications,معلومات,ئاگەهداریێن سرایێ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
141,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,scheduleNotifications,Badini,Schedule notifications,معلومات,ئاگەهداریێن خشتەیێ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
142,Doctor Settings,Clinic Portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts,sessionReminders,Badini,Session reminders,معلومات,بیرئینانێن دانیشتنێ,None,Shown in doctor settings and preferences.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
